subject,section,passage_text,question_text,option_a,option_b,option_c,option_d,correct_option
"الحاسوب","Microsoft PowerPoint","","الوضع الافتراضي للعمل والتصميم في بوربوينت هو:","عرض فارز الشرائح","الوضع العادي (Normal View)","عرض القراءة","عرض الشرائح","الوضع العادي (Normal View)"
"الحاسوب","Microsoft PowerPoint","","يعرض جميع الشرائح كصور مصغرة لتسهيل إعادة ترتيبها وحذفها:","العرض العادي","فارز الشرائح (Slide Sorter View)","عرض القراءة","صفحة الملاحظات","فارز الشرائح (Slide Sorter View)"
"الحاسوب","Microsoft PowerPoint","","يعرض العرض التقديمي بملء الشاشة مع شريط أدوات بسيط في الأسفل للمراجعة:","عرض القراءة (Reading View)","العرض العادي","فارز الشرائح","مخطط تفصيلي","عرض القراءة (Reading View)"
"الحاسوب","Microsoft PowerPoint","","لبدء العرض التقديمي من الشريحة الأولى (البداية)، نستخدم المفتاح:","F1","F5","Shift + F5","Ctrl + P","F5"
"الحاسوب","Microsoft PowerPoint","","لبدء العرض من الشريحة التي تعمل عليها حالياً (الحالية)، نستخدم:","F5","Shift + F5","Alt + F5","Ctrl + F5","Shift + F5"
"الحاسوب","Microsoft PowerPoint","","أي علامة تبويب تستخدم لإضافة الصور والجداول والمخططات؟","ملف","الصفحة الرئيسية","إدراج (Insert)","تصميم","إدراج (Insert)"
"الحاسوب","Microsoft PowerPoint","","تستخدم علامة التبويب (انتقالات - Transitions) لإضافة تأثيرات بصرية عند:","تحريك النص داخل الشريحة","الانتقال من شريحة إلى أخرى","تغيير لون الخط","حفظ الملف","الانتقال من شريحة إلى أخرى"
"الحاسوب","Microsoft PowerPoint","","تستخدم علامة التبويب (حركات - Animations) لإضافة تأثيرات على:","خلفية الشريحة","العناصر داخل الشريحة (نصوص وصور)","حجم الورقة","طريقة الطباعة","العناصر داخل الشريحة (نصوص وصور)"
"الحاسوب","Microsoft PowerPoint","","لإضافة شريحة جديدة (New Slide)، نستخدم الاختصار:","Ctrl + N","Ctrl + M","Ctrl + S","Ctrl + New","Ctrl + M"
"الحاسوب","Microsoft PowerPoint","","لإدراج مربع نص (Text Box) جديد في الشريحة، نذهب لتبويب:","تصميم","إدراج (Insert)","عرض","مراجعة","إدراج (Insert)"
"الحاسوب","Microsoft PowerPoint","","مفتاح الاختصار المستخدم للخروج من وضع ""عرض الشرائح"" هو:","Enter","Space","Esc","Tab","Esc"
"الحاسوب","Microsoft PowerPoint","","يمكن التنقل بين الشرائح أثناء العرض باستخدام:","مفاتيح الأسهم","النقر بالماوس","أزرار التنقل المنبثقة","جميع ما سبق","جميع ما سبق"
"الحاسوب","Microsoft PowerPoint","","لتغيير اتجاه الشريحة أو حجمها، نستخدم علامة التبويب:","الصفحة الرئيسية","إدراج","تصميم (Design)","حركات","تصميم (Design)"
"الحاسوب","Microsoft PowerPoint","","الاختصار المستخدم لتكرار شريحة محددة (Duplicate Slide) هو:","Ctrl + C","Ctrl + D","Ctrl + V","Ctrl + X","Ctrl + D"
"الحاسوب","Microsoft PowerPoint","","لحفظ العرض التقديمي باسم جديد أو بصيغة PDF، نذهب لعلامة التبويب:","ملف (File) -> حفظ باسم","إدراج","تصميم","عرض","ملف (File) -> حفظ باسم"
"الحاسوب","Microsoft PowerPoint","","لفتح عرض تقديمي موجود مسبقاً، نستخدم الاختصار:","Ctrl + P","Ctrl + O","Ctrl + N","Ctrl + S","Ctrl + O"
"الحاسوب","Microsoft PowerPoint","","علامة التبويب التي تحتوي على خيار ""التدقيق الإملائي"" هي:","تصميم","عرض","مراجعة (Review)","إدراج","مراجعة (Review)"
"الحاسوب","Microsoft PowerPoint","","لإضافة ملاحظات للمحاضر أسفل كل شريحة، نستخدم:","شريط العنوان","منطقة الملاحظات (Notes Pane)","شريط الحالة","جزء المهام","منطقة الملاحظات (Notes Pane)"
"الحاسوب","Microsoft PowerPoint","","أي من الاختصارات التالية يستخدم لطباعة الشرائح؟","Ctrl + S","Ctrl + P","Ctrl + Shift + P","Alt + P","Ctrl + P"
"الحاسوب","Microsoft PowerPoint","","لتوسيط النص داخل مربع النص، نستخدم الاختصار:","Ctrl + L","Ctrl + R","Ctrl + E","Ctrl + J","Ctrl + E"
"الحاسوب","Microsoft PowerPoint","","للبحث عن كلمة محددة داخل الشرائح، نستخدم:","Ctrl + F","Ctrl + H","Ctrl + K","Ctrl + G","Ctrl + F"
"الحاسوب","Microsoft PowerPoint","","يستخدم خيار ""إخفاء الشريحة"" لـ:","حذف الشريحة نهائياً","عدم إظهار الشريحة أثناء العرض فقط","تغيير لون الشريحة","تشفير الشريحة","عدم إظهار الشريحة أثناء العرض فقط"
"الحاسوب","Microsoft PowerPoint","","تعد ""النصوص، الصور، الفيديو، الأصوات"" عناصر يمكن إدراجها في:","الشرائح فقط","خلفية البرنامج فقط","المسطرة","شريط الحالة","الشرائح فقط"
"الحاسوب","Microsoft PowerPoint","","الامتداد الافتراضي لملفات باوربوينت 2016 هو:","*.docx","*.xlsx","*.pptx","*.txt","*.pptx"
"الحاسوب","Microsoft PowerPoint","","لجعل النص المحدد مائلاً في الشريحة، نستخدم:","Ctrl + B","Ctrl + I","Ctrl + U","Ctrl + K","Ctrl + I"
"الحاسوب","Microsoft Excel","","ما هو البرنامج المخصص لتنظيم وتحليل البيانات في جداول تتكون من صفوف وأعمدة؟","Microsoft Word","Microsoft Excel","Microsoft PowerPoint","Microsoft Access","Microsoft Excel"
"الحاسوب","Microsoft Excel","","تسمى نقطة تقاطع الصف مع العمود في برنامج إكسل بـ:","المسطرة","الخلية (Cell)","مربع النص","الشريحة","الخلية (Cell)"
"الحاسوب","Microsoft Excel","","يُرمز للأعمدة في إكسل بـ:","الأرقام (1, 2, 3...)","الحروف (A, B, C...)","الرموز (*, &, %...)","الألوان","الحروف (A, B, C...)"
"الحاسوب","Microsoft Excel","","يُرمز للصفوف (Rows) في إكسل بـ:","الحروف (A, B, C...)","الأرقام (1, 2, 3...)","الكلمات","الخطوط","الأرقام (1, 2, 3...)"
"الحاسوب","Microsoft Excel","","يعرض عنوان الخلية النشطة (مثل A1) ويقع في أعلى يسار مساحة العمل:","شريط العنوان","مربع الاسم (Name Box)","شريط الصيغة","شريط الحالة","مربع الاسم (Name Box)"
"الحاسوب","Microsoft Excel","","يستخدم لإدخال وتحرير البيانات أو الصيغ ويظهر محتوى الخلية النشطة:","مربع الاسم","شريط الصيغة (Formula Bar)","شريط القوائم","المسطرة","شريط الصيغة (Formula Bar)"
"الحاسوب","Microsoft Excel","","يجب أن تبدأ كل صيغة أو معادلة رياضية في إكسل بعلامة:","(+) الزائد","(*) الضرب","(=) اليساوي","(%) النسبة المئوية","(=) اليساوي"
"الحاسوب","Microsoft Excel","","الدالة (Function) المستخدمة لجمع قيم مجموعة من الخلايا هي:","AVERAGE","MIN","SUM","COUNT","SUM"
"الحاسوب","Microsoft Excel","","الدالة المستخدمة لحساب المتوسط الحسابي لمجموعة قيم هي:","SUM","MAX","AVERAGE","COUNT","AVERAGE"
"الحاسوب","Microsoft Excel","","لإيجاد أكبر قيمة في نطاق محدد من الخلايا، نستخدم الدالة:","MIN","MAX","SUM","IF","MAX"
"الحاسوب","Microsoft Excel","","لإيجاد أصغر قيمة في نطاق محدد من الخلايا، نستخدم الدالة:","MAX","MIN","AVERAGE","COUNT","MIN"
"الحاسوب","Microsoft Excel","","الدالة المستخدمة لحساب عدد الخلايا التي تحتوي على أرقام هي:","SUM","COUNT","IF","MIN","COUNT"
"الحاسوب","Microsoft Excel","","أي علامة تبويب تحتوي على أدوات ""الفرز والتصفية"" (Sort & Filter)؟","إدراج","تخطيط الصفحة","بيانات (Data)","عرض","بيانات (Data)"
"الحاسوب","Microsoft Excel","","لدمج عدة خلايا وجعلها خلية واحدة مع توسيط النص، نستخدم:","التفاف النص","دمج وتوسيط (Merge & Center)","تنسيق شرطي","فرز","دمج وتوسيط (Merge & Center)"
"الحاسوب","Microsoft Excel","","يستخدم خيار ""التنسيق الشرطي"" (Conditional Formatting) لـ:","تغيير لون الخلايا بناءً على قيمتها","حذف البيانات","جمع الخلايا","تغيير اتجاه الصفحة","تغيير لون الخلايا بناءً على قيمتها"
"الحاسوب","Microsoft Excel","","لتغيير حجم ورقة العمل لتناسب صفحة واحدة عند الطباعة، نستخدم خيار:","الهوامش","الاتجاه","التحجيم (Scaling)","فواصل الصفحات","التحجيم (Scaling)"
"الحاسوب","Microsoft Excel","","المسافة بين حافة الورقة ومحتوى البيانات المطبوعة تسمى:","الحدود","الهوامش (Margins)","الفواصل","الخلايا","الهوامش (Margins)"
"الحاسوب","Microsoft Excel","","الاختصار المستخدم للانتقال إلى الخلية A1 في ورقة العمل هو:","Ctrl + Home","Ctrl + End","Alt + Page Up","Shift + A1","Ctrl + Home"
"الحاسوب","Microsoft Excel","","الاختصار المستخدم لفتح ""تنسيق الخلايا"" (Format Cells) هو:","Ctrl + 1","Ctrl + F","Ctrl + Shift + F","Ctrl + Cell","Ctrl + 1"
"الحاسوب","Microsoft Excel","","لتكرار صفوف معينة (مثل رؤوس الجداول) في كل صفحة مطبوعة، نستخدم:","منطقة الطباعة","طباعة العناوين (Print Titles)","فواصل الصفحات","توسيع","طباعة العناوين (Print Titles)"
"الحاسوب","Microsoft Excel","","الامتداد الافتراضي لملفات مايكروسوفت إكسل 2016 هو:","*.docx","*.pptx","*.xlsx","*.pdf","*.xlsx"
"الحاسوب","Microsoft Excel","","يمكن إضافة ورقة عمل (Worksheet) جديدة في نفس المصنف بالضغط على:","Ctrl + N","علامة الزائد (+) بجانب أسماء الأوراق","تبويب ملف","شريط المهام","علامة الزائد (+) بجانب أسماء الأوراق"
"الحاسوب","Microsoft Excel","","لتغيير اتجاه ورقة العمل من اليمين إلى اليسار، نذهب إلى تبويب:","إدراج","تخطيط الصفحة (Page Layout)","صيغ","بيانات","تخطيط الصفحة (Page Layout)"
"الحاسوب","Microsoft Excel","","ماذا يسمى ملف إكسل الذي يحتوي على عدة أوراق عمل؟","مستند","مصنف (Workbook)","عرض تقديمي","قاعدة بيانات","مصنف (Workbook)"
"الحاسوب","Microsoft Excel","","عند كتابة الصيغة (=B2*C2)، فإن علامة (*) تعني:","الجمع","الطرح","الضرب","القسمة","الضرب"
"الحاسوب","Microsoft Excel","","عند كتابة الصيغة (=A1/B1)، فإن علامة (/) تعني:","الضرب","القسمة","الأس","الجمع","القسمة"
"الحاسوب","Microsoft Excel","","لإدراج مخطط بياني (Chart) لتمثيل البيانات بصرياً، نستخدم تبويب:","بيانات","إدراج (Insert)","صيغ","عرض","إدراج (Insert)"
"الحاسوب","Microsoft Excel","","تستخدم خاصية ""تثبيت الأجزاء"" (Freeze Panes) لـ:","قفل الملف بكلمة سر","بقاء الصفوف أو الأعمدة ظاهرة أثناء التمرير","حماية الخلايا من الحذف","دمج الخلايا","بقاء الصفوف أو الأعمدة ظاهرة أثناء التمرير"
"الحاسوب","Microsoft Excel","","الاختصار المستخدم لإدراج التاريخ الحالي في الخلية هو:","Ctrl + ;","Ctrl + Shift + :","Alt + D","Ctrl + T","Ctrl + ;"
"الحاسوب","Microsoft Excel","","الاختصار المستخدم لإدراج الوقت الحالي في الخلية هو:","Ctrl + ;","Ctrl + Shift + :","Shift + T","Alt + Shift + T","Ctrl + Shift + :"
"الحاسوب","الإنترنت والشبكات","","ما هو البروتوكول الأساسي الذي تستخدمه الأجهزة للتواصل وتبادل البيانات عبر الإنترنت؟","HTTP","FTP","TCP/IP","SMTP","TCP/IP"
"الحاسوب","الإنترنت والشبكات","","تسمى الشبكة المحلية التي تغطي مساحة صغيرة مثل منزل أو مكتب بـ:","WAN","LAN","MAN","PAN","LAN"
"الحاسوب","الإنترنت والشبكات","","أي نوع من الشبكات يستخدم لربط أجهزة في مساحات جغرافية واسعة مثل المدن أو الدول؟","LAN","WLAN","WAN","PAN","WAN"
"الحاسوب","الإنترنت والشبكات","","نظام يحول أسماء النطاقات (مثل google.com) إلى عناوين IP:","URL","DNS","HTTP","GUI","DNS"
"الحاسوب","الإنترنت والشبكات","","ما هو الاختصار الذي يمثل عنوان موقع الويب الفريد؟","IP","DNS","URL","HTML","URL"
"الحاسوب","الإنترنت والشبكات","","أي بروتوكول يستخدم لنقل صفحات الويب بشكل آمن ومشفر؟","HTTP","HTTPS","FTP","SMTP","HTTPS"
"الحاسوب","الإنترنت والشبكات","","يُعرف بأنه شبكة عالمية ضخمة تربط ملايين الأجهزة حول العالم:","الإنترنت","الإنترانت","الويب","الخادم","الإنترنت"
"الحاسوب","الإنترنت والشبكات","","مجموعة من الصفحات المترابطة التي يمكن الوصول إليها عبر الإنترنت تسمى:","البريد الإلكتروني","شبكة الويب العالمية (WWW)","المتصفح","محرك البحث","شبكة الويب العالمية (WWW)"
"الحاسوب","الإنترنت والشبكات","","البرنامج الذي يتيح للمستخدم عرض صفحات الويب والتفاعل معها هو:","محرك البحث","المتصفح (Browser)","نظام التشغيل","جدار الحماية","المتصفح (Browser)"
"الحاسوب","الإنترنت والشبكات","","أي مما يلي يعد مثالاً على محرك بحث (Search Engine)؟","Google Chrome","Safari","Google","Microsoft Edge","Google"
"الحاسوب","البريد الإلكتروني","","البروتوكول المسؤول عن إرسال البريد الإلكتروني من العميل إلى الخادم هو:","POP3","IMAP","SMTP","HTTPS","SMTP"
"الحاسوب","البريد الإلكتروني","","يسمح للمستخدم بتحميل الرسائل من الخادم وحذفها منه ليتم تخزينها محلياً:","IMAP","POP3","SMTP","DNS","POP3"
"الحاسوب","البريد الإلكتروني","","يسمح بالوصول للرسائل وإدارتها على الخادم مباشرة دون الحاجة لتحميلها محلياً:","POP3","IMAP","SMTP","FTP","IMAP"
"الحاسوب","البريد الإلكتروني","","ماذا يعني الاختصار (CC) في حقول البريد الإلكتروني؟","نسخة مخفية","نسخة كربونية (علنية)","عنوان الرسالة","المرفقات","نسخة كربونية (علنية)"
"الحاسوب","البريد الإلكتروني","","يستخدم لإرسال نسخة من الرسالة لمستلمين دون أن يرى الآخرون عناوينهم:","CC","BCC","Subject","To","BCC"
"الحاسوب","البريد الإلكتروني","","المصطلح الذي يطلق على البريد الإلكتروني العشوائي وغير المرغوب فيه هو:","Inbox","Spam","Draft","Archive","Spam"
"الحاسوب","البريد الإلكتروني","","يحتوي حقل (الموضوع - Subject) في البريد الإلكتروني على:","عنوان البريد","مرفقات","وصف مختصر لمحتوى الرسالة","توقيع المرسل","وصف مختصر لمحتوى الرسالة"
"الحاسوب","الذكاء الاصطناعي","","ما هو الاختصار العالمي لمصطلح الذكاء الاصطناعي؟","IT","AI","IOT","GUI","AI"
"الحاسوب","الذكاء الاصطناعي","","قدرة الآلة على محاكاة القدرات الذهنية البشرية مثل التعلم والاستنتاج تسمى:","البرمجة التقليدية","الذكاء الاصطناعي","تطوير الويب","قواعد البيانات","الذكاء الاصطناعي"
"الحاسوب","الإنترنت والشبكات","","واجهة المستخدم التي تعتمد على الأيقونات والقوائم بدلاً من الأوامر النصية هي:","CLI","API","GUI","BIOS","GUI"
"الحاسوب","الإنترنت والشبكات","","جهاز يربط شبكتين مختلفتين ويقوم بتوجيه البيانات بينهما:","المحول (Switch)","الموجه (Router)","المودم","الموزع","الموجه (Router)"
"الحاسوب","الإنترنت والشبكات","","أصغر وحدة لقياس سرعة نقل البيانات في الشبكات هي:","بايت","بت (Bit)","بكسل","هرتز","بت (Bit)"
"الحاسوب","الإنترنت والشبكات","","الشبكة المحلية اللاسلكية يرمز لها بالاختصار:","LAN","WAN","WLAN","VPN","WLAN"
"الحاسوب","الإنترنت والشبكات","","عملية نقل ملف من جهازك إلى خادم بعيد على الإنترنت تسمى:","تحميل (Download)","رفع (Upload)","مزامنة","تصفح","رفع (Upload)"
"الحاسوب","الإنترنت والشبكات","","عملية الحصول على ملف من الإنترنت وحفظه على جهازك تسمى:","رفع","تحميل (Download)","تثبيت","تشفير","تحميل (Download)"
"الحاسوب","الإنترنت والشبكات","","نص أو صورة في صفحة ويب عند النقر عليه ينقلك لصفحة أخرى:","الارتباط التشعبي (Hyperlink)","العنوان","القائمة","الإطار","الارتباط التشعبي (Hyperlink)"
"الحاسوب","البريد الإلكتروني","","ملف يتم إرساله مع رسالة البريد الإلكتروني (مثل صورة أو مستند) يسمى:","Subject","Signature","Attachment (مرفق)","Body","Attachment (مرفق)"
"الحاسوب","البريد الإلكتروني","","المجلد الذي تحفظ فيه الرسائل التي بدأت بكتابتها ولم ترسلها بعد هو:","Sent","Spam","Drafts (المسودات)","Trash","Drafts (المسودات)"
"الحاسوب","الإنترنت والشبكات","","أيهما أكثر أماناً لتصفح المواقع التي تتطلب بيانات حساسة؟","HTTP","FTP","HTTPS","Telnet","HTTPS"
"الحاسوب","الذكاء الاصطناعي","","فرع من الذكاء الاصطناعي يركز على تطوير خوارزميات تسمح للحاسوب بالتعلم من البيانات:","تطوير الألعاب","تعلم الآلة (Machine Learning)","صيانة الحاسوب","الشبكات","تعلم الآلة (Machine Learning)"
"الحاسوب","الإنترنت والشبكات","","شبكة خاصة تستخدمها المؤسسات داخلياً ولا يمكن للجمهور الوصول إليها:","الإكسترانت","الإنترانت (Intranet)","الإنترنت","الويب","الإنترانت (Intranet)"
"الحاسوب","الإنترنت والشبكات","","الرمز (@) في عنوان البريد الإلكتروني يستخدم لـ:","تشفير الرسالة","فصل اسم المستخدم عن اسم النطاق","إرسال مرفقات","إضافة توقيع","فصل اسم المستخدم عن اسم النطاق"
"الحاسوب","الإنترنت والشبكات","","أي مما يلي يعد مثالاً على متصفح ويب؟","Google Search","Yahoo","Mozilla Firefox","Bing","Mozilla Firefox"
"الحاسوب","الإنترنت والشبكات","","عنوان الـ IP يتكون عادة من كم مجموعة من الأرقام (في الإصدار الرابع IPv4)؟","3","4","5","6","4"
"الحاسوب","البريد الإلكتروني","","ماذا تفعل إذا استلمت بريداً إلكترونياً من مصدر مجهول يحتوي على رابط مشبوه؟","أضغط على الرابط","أعيد إرساله لأصدقائي","أتجاهله أو أحذفه فوراً","أقوم بفتحه بدافع الفضول","أتجاهله أو أحذفه فوراً"
"الحاسوب","الإنترنت والشبكات","","الكلمات الافتتاحية التي تستخدمها في محرك البحث للوصول لمعلومات معينة تسمى:","الأوامر","الكلمات المفتاحية (Keywords)","العناوين","الروابط","الكلمات المفتاحية (Keywords)"
"الحاسوب","البريد الإلكتروني","","تأكيد استلام الرسالة هو خيار يمكن تفعيله في:","المتصفح","إعدادات البريد الإلكتروني","الخادم فقط","محرك البحث","إعدادات البريد الإلكتروني"
"الحاسوب","الذكاء الاصطناعي","","الروبوتات هي أحد التطبيقات العملية لمجال:","الإنترنت","الذكاء الاصطناعي","البريد الإلكتروني","الشبكات","الذكاء الاصطناعي"
"الحاسوب","الإنترنت والشبكات","","تقنية تسمح للأجهزة بالاتصال لاسلكياً لمسافات قصيرة جداً (مثل سماعات الرأس):","الواي فاي","البلوتوث","الأقمار الصناعية","الألياف الضوئية","البلوتوث"
"الحاسوب","الإنترنت والشبكات","","أي من الرموز التالية يمثل أعلى مستوى لنطاق تجاري؟",".gov",".edu",".com",".org",".com"
"الحاسوب","Microsoft Office","","ما الوظيفة المشتركة للمفتاح F1 في Word وExcel وPowerPoint؟","حفظ باسم","فتح المساعدة (Help)","طباعة","إغلاق البرنامج","فتح المساعدة (Help)"
"الحاسوب","Microsoft Word","","في برنامج Word، يستخدم المفتاح F2 لـ:","تغيير الخط","نقل النص أو الكائنات المحددة","حفظ الملف","البحث عن كلمة","نقل النص أو الكائنات المحددة"
"الحاسوب","Microsoft Excel","","ما وظيفة المفتاح F2 عند تحديد خلية في برنامج Excel؟","حذف الخلية","تعديل محتويات الخلية المحددة","تغيير لون الخلية","نسخ الخلية","تعديل محتويات الخلية المحددة"
"الحاسوب","Microsoft PowerPoint","","يستخدم المفتاح F2 في PowerPoint لـ:","بدء العرض","إدراج صورة","تعديل النص في مربع نص أو شكل","حذف شريحة","تعديل النص في مربع نص أو شكل"
"الحاسوب","Microsoft Word","","الاختصار المستخدم لإدراج 'نص تلقائي' في برنامج Word هو:","F1","F2","F3","F4","F3"
"الحاسوب","Microsoft Excel","","في Excel، يستخدم المفتاح F3 لـ:","لصق اسم (إن وجد)","فتح مستند جديد","إدراج دالة","حفظ باسم","لصق اسم (إن وجد)"
"الحاسوب","Microsoft Office","","ما هي الوظيفة المشتركة للمفتاح F4 في جميع برامج الأوفيس؟","إغلاق البرنامج","تكرار آخر إجراء","فتح المساعدة","تغيير اللغة","تكرار آخر إجراء"
"الحاسوب","Microsoft Excel","","إضافة لتكرار الإجراء، يستخدم F4 في Excel لـ:","تثبيت أو فك تثبيت مرجع الخلية ($)","حساب المعادلات","إدراج مخطط","فتح بحث","تثبيت أو فك تثبيت مرجع الخلية ($)"
"الحاسوب","Microsoft Word","","يؤدي الضغط على F5 في برنامج Word إلى فتح مربع حوار:","الطباعة","بحث واستبدال (انتقال إلى)","حفظ باسم","تنسيق الخط","بحث واستبدال (انتقال إلى)"
"الحاسوب","Microsoft PowerPoint","","ما هي وظيفة المفتاح F5 الأساسية في PowerPoint؟","إدراج شريحة","بدء عرض الشرائح من البداية","فتح بحث","إغلاق العرض","بدء عرض الشرائح من البداية"
"الحاسوب","Microsoft Excel","","يستخدم المفتاح F5 في Excel لفتح مربع حوار:","حفظ باسم","انتقال إلى (Go To)","تنسيق الخلايا","إدراج دالة","انتقال إلى (Go To)"
"الحاسوب","Microsoft Office","","يستخدم المفتاح F6 في برامج Word وExcel وPowerPoint لـ:","حفظ الملف","التنقل بين أجزاء واجهة البرنامج","إغلاق النافذة","تغيير حجم الخط","التنقل بين أجزاء واجهة البرنامج"
"الحاسوب","Microsoft Office","","ما الوظيفة المشتركة للمفتاح F7 في جميع برامج الأوفيس؟","حماية المستند","تشغيل المدقق الإملائي والنحوي","إدراج جدول","فتح المساعدة","تشغيل المدقق الإملائي والنحوي"
"الحاسوب","Microsoft Word","","يستخدم المفتاح F8 في Word وExcel لـ:","تغيير اللغة","تفعيل وضع التحديد الموسع","إدراج تعليق","فتح ماكرو","تفعيل وضع التحديد الموسع"
"الحاسوب","Microsoft Word","","ما وظيفة المفتاح F9 في برنامج Word؟","حفظ المستند","تحديث الحقول المحددة (مثل جدول المحتويات)","فتح الطباعة","إغلاق الملف","تحديث الحقول المحددة (مثل جدول المحتويات)"
"الحاسوب","Microsoft Excel","","في Excel، يستخدم المفتاح F9 لـ:","إدراج ورقة جديدة","حساب جميع أوراق العمل المفتوحة","تنسيق الأرقام","البحث عن نص","حساب جميع أوراق العمل المفتوحة"
"الحاسوب","Microsoft Office","","ما هي وظيفة المفتاح F10 في برامج الأوفيس؟","فتح المساعدة","تنشيط شريط القوائم (Menubar)","حفظ الملف","خروج","تنشيط شريط القوائم (Menubar)"
"الحاسوب","Microsoft Word","","في برنامج Word، يستخدم المفتاح F11 لـ:","إدراج صورة","الانتقال إلى الحقل التالي","حفظ باسم","فتح البحث","الانتقال إلى الحقل التالي"
"الحاسوب","Microsoft Excel","","يستخدم المفتاح F11 في برنامج Excel لـ:","حفظ الملف","إنشاء مخطط بياني في ورقة عمل جديدة","فتح المساعدة","تغيير اسم الورقة","إنشاء مخطط بياني في ورقة عمل جديدة"
"الحاسوب","Microsoft Office","","ما الوظيفة المشتركة للمفتاح F12 في Word وExcel وPowerPoint؟","طباعة","فتح نافذة 'حفظ باسم' (Save As)","فتح ملف قديم","تعديل الخط","فتح نافذة 'حفظ باسم' (Save As)"
"الحاسوب","Microsoft Excel","","لتعديل محتوى خلية بسرعة دون استخدام الماوس، نضغط على:","F1","F2","F5","F10","F2"
"الحاسوب","Microsoft PowerPoint","","لبدء العرض التقديمي فوراً من أول شريحة، المفتاح المختصر هو:","F2","F5","F7","F12","F5"
"الحاسوب","Microsoft Word","","لتحديث 'جدول المحتويات' (Table of Contents) بعد تعديله، نحدد الجدول ونضغط:","F4","F7","F9","F11","F9"
"الحاسوب","Microsoft Excel","","لتحويل مرجع خلية من (A1) إلى ($A$1) في الصيغ، نضغط على:","F2","F4","F8","F9","F4"
"الحاسوب","Microsoft Word","","أي مفتاح يفتح قائمة 'بحث واستبدال' مع تبويب 'انتقال إلى' في Word؟","F3","F5","F6","F12","F5"
"الحاسوب","Microsoft Excel","","أي مفتاح ينشئ مخططاً بيانياً فورياً في ورقة منفصلة بناءً على البيانات المحددة؟","F5","F9","F11","F12","F11"
"الحاسوب","Microsoft Office","","مفتاح الوظيفة الذي يشغل 'المدقق الإملائي' (Spelling & Grammar) هو:","F1","F5","F7","F10","F7"
"الحاسوب","Microsoft Word","","مفتاح F11 في Word يستخدم لـ:","الحفظ","الانتقال للحقل التالي","المساعدة","توسيع التحديد","الانتقال للحقل التالي"
"الحاسوب","Microsoft Excel","","المفتاح الذي يفتح نافذة 'انتقال إلى' (Go To) في Excel هو:","F2","F5","F7","F11","F5"
"الحاسوب","Microsoft Office","","أي مفتاح وظيفي يغني عن استخدام الماوس لتنشيط القوائم العلوية؟","F2","F8","F10","F12","F10"
"الحاسوب","Microsoft PowerPoint","","في PowerPoint، مفتاح F2 مخصص لـ:","بدء العرض","تعديل النص في شكل أو مربع نص","حفظ باسم","المساعدة","تعديل النص في شكل أو مربع نص"
"الحاسوب","Microsoft Word","","مفتاح F3 في Word يستخدم خصيصاً لـ:","إدراج نص تلقائي","تعديل الخط","حفظ","إغلاق","إدراج نص تلقائي"
"الحاسوب","Microsoft Excel","","مفتاح F3 في Excel يستخدم لـ:","حساب الورقة","لصق اسم","فتح المساعدة","تكرار إجراء","لصق اسم"
"الحاسوب","Microsoft Office","","مفتاح F12 في جميع التطبيقات هو اختصار لـ:","حفظ","حفظ باسم","فتح","إغلاق","حفظ باسم"
"الحاسوب","Microsoft Excel","","ما هي الدالة المستخدمة في برنامج Excel لإيجاد أكبر قيمة في نطاق من الخلايا A1:A10؟","MIN(A1:A10)","MAX(A1:A10)","SUM(A1:A10)","AVERAGE(A1:A10)","MAX(A1:A10)"
"الحاسوب","Microsoft Excel","","إذا كان لديك درجات الطلاب في العمود B، وأقل درجة للنجاح هي 50، فأي دالة تستخدم لحساب عدد الراسبين؟","COUNTIF(B:B,\">50\")","COUNTIF(B:B,\"<50\")","SUMIF(B:B,\">50\")","COUNT(B:B)","COUNTIF(B:B,\"<50\")"
"الحاسوب","Microsoft Excel","","كيف يمكنك ترتيب أسماء الطلاب في العمود A ترتيباً أبجدياً تصاعدياً؟","استخدام Filter ثم اختيار Sort A to Z","استخدام Filter ثم اختيار Sort Z to A","استخدام دالة SORT","جميع ما سبق","استخدام Filter ثم اختيار Sort A to Z"
"الحاسوب","Microsoft Excel","","ما هو الاستخدام الرئيسي لبرنامج Excel؟","معالجة النصوص","إنشاء العروض التقديمية","تحليل البيانات وإجراء العمليات الحسابية","تصفح الإنترنت","تحليل البيانات وإجراء العمليات الحسابية"
"الحاسوب","Microsoft Excel","","ما هو اسم المربع الصغير الأسود في الزاوية السفلى من تحديد الخلية، وما هي وظيفته؟","مقبض التحديد - لتحديد الخلية","مقبض التعبئة - لنسخ المحتوى أو تتابع البيانات","مقبض الحذف - لحذف محتوى الخلية","مقبض التحرير - لتعديل الخلية","مقبض التعبئة - لنسخ المحتوى أو تتابع البيانات"
"الحاسوب","Microsoft Excel","","لتوسيط عنوان عبر عدة أعمدة (مثل A1 إلى D1)، ما الإجراء الصحيح؟","تضليل الخلايا ثم النقر على \"Merge & Center\"","تضليل الخلايا ثم النقر على \"Wrap Text\"","تضليل الخلايا ثم النقر على \"Align Left\"","تضليل الخلايا ثم النقر على \"Center\" فقط","تضليل الخلايا ثم النقر على \"Merge & Center\""
